Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos
62185;30/05/2024;699;Prego Espiral 16x24;2;KG;30,13;24470;LF COMERCIAL DE BENS LTDA-ATACADO JOI;Atendido;05/06/2024;05/06/2024;55;Gabriel André Bertram;6;28 DIAS;07/06/2024
62648;24/06/2024;699;Prego Espiral 16x24;3;KG;19,5;21200;FERRAMENTAS GERAIS COM. IMP. LTDA.;Atendido;27/06/2024;27/06/2024;55;Gabriel André Bertram;84;42 dias;28/06/2024
61770;02/05/2024;1011;Bobina Al Natural 0,80x1000mmCODIGO CBA: 6172609;5.575,00;KG;25,61;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;24/06/2024;28/06/2024;104;Jonas Linshalm;3;10 DIAS;28/06/2024
64164;03/09/2024;1011;Bobina Al Natural 0,80x1000mmCODIGO CBA: 6172609;4.715,00;KG;27,89;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;13/11/2024;07/11/2024;104;Jonas Linshalm;3;10 DIAS;08/11/2024
60779;01/03/2024;1014;Chapa Al Xadrez 2,70x1250x3000mm;62;KG;32,45;23356;ALUMIPLAST;Atendido;04/03/2024;04/03/2024;109;Marcia - Compras;6;28 DIAS;15/03/2024
61081;19/03/2024;1014;Chapa Al Xadrez 2,70x1250x3000mm;150;KG;32,45;23356;ALUMIPLAST;Atendido;25/03/2024;25/03/2024;109;Marcia - Compras;6;28 DIAS;26/03/2024
61680;26/04/2024;1014;Chapa Al Xadrez 2,70x1250x3000mm;94,5;KG;32,45;23356;ALUMIPLAST;Atendido;20/05/2024;23/05/2024;109;Marcia - Compras;6;28 DIAS;23/05/2024
63560;06/08/2024;1014;Chapa Al Xadrez 2,70x1250x3000mm;94,5;KG;32,45;23356;ALUMIPLAST;Atendido;19/08/2024;19/08/2024;109;Marcia - Compras;6;28 DIAS;15/08/2024
64584;24/09/2024;1014;Chapa Al Xadrez 2,70x1250x3000mm;97;KG;32,45;23356;ALUMIPLAST;Atendido;07/10/2024;07/10/2024;109;Marcia - Compras;6;28 DIAS;01/11/2024
60397;02/02/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;11.645,00;KG;22,26;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;03/04/2024;03/04/2024;104;Jonas Linshalm;3;10 DIAS;02/04/2024
61768;02/05/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.605,00;KG;25,61;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;17/06/2024;27/06/2024;104;Jonas Linshalm;3;10 DIAS;28/06/2024
61771;02/05/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;10.015,00;KG;25,02;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;08/07/2024;15/07/2024;104;Jonas Linshalm;3;10 DIAS;16/07/2024
62233;03/06/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.340,00;KG;25,76;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;01/08/2024;09/08/2024;104;Jonas Linshalm;3;10 DIAS;12/08/2024 - 27/08/2024
62234;03/06/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.655,00;KG;25,76;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;15/08/2024;28/08/2024;104;Jonas Linshalm;3;10 DIAS;28/08/2024
62860;03/07/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.455,00;KG;25,7;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;20/08/2024;09/09/2024;104;Jonas Linshalm;3;10 DIAS;10/09/2024
62867;03/07/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;11.275,00;KG;25,7;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;01/09/2024;27/09/2024;104;Jonas Linshalm;3;10 DIAS;30/09/2024
62881;04/07/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;5.367,00;KG;24,15;23679;ALCAST DO BRASIL LTDA;Atendido;12/07/2024;12/07/2024;104;Jonas Linshalm;3;10 DIAS;12/07/2024
63414;30/07/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.175,00;KG;26,51;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;16/09/2024;10/10/2024;104;Jonas Linshalm;3;10 DIAS;11/10/2024
63415;30/07/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;11.590,00;KG;26,51;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;30/09/2024;28/10/2024;104;Jonas Linshalm;3;10 DIAS;28/10/2024
64163;03/09/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.050,00;KG;26,51;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;03/11/2024;23/10/2024;104;Jonas Linshalm;3;10 DIAS;24/10/2024
64702;01/10/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.350,00;KG;30,25;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;08/01/2025;08/01/2025;104;Jonas Linshalm;3;10 DIAS;09/01/2025
64703;01/10/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;12.215,00;KG;30,25;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;15/01/2025;03/02/2025;104;Jonas Linshalm;3;10 DIAS;27/01/2025 - 05/02/2025
65364;05/11/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;11.960,00;KG;30,24;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;05/02/2025;17/02/2025;104;Jonas Linshalm;3;10 DIAS;18/02/2025
65365;05/11/2024;1016;Bobina Al Natural 1,00x1000mmCODIGO CBA: 6172605;11.672,00;KG;30,25;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;17/02/2025;08/01/2025;104;Jonas Linshalm;3;10 DIAS;09/01/2025
60396;02/02/2024;1022;Bobina Al Natural 0,90x1460mmCODIGO CBA: 6126568;8.515,00;KG;22,26;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;15/03/2024;02/04/2024;104;Jonas Linshalm;3;10 DIAS;02/04/2024
60398;02/02/2024;1022;Bobina Al Natural 0,90x1460mmCODIGO CBA: 6126568;7.640,00;KG;22,61;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;15/04/2024;17/04/2024;104;Jonas Linshalm;3;10 DIAS;17/04/2024
62226;03/06/2024;1022;Bobina Al Natural 0,90x1460mmCODIGO CBA: 6126568;8.965,00;KG;25,61;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;15/07/2024;15/07/2024;104;Jonas Linshalm;3;10 DIAS;16/07/2024
